,Date/Time,Day,Dew Point Temp (°C),Month,Rel Hum (%),Stn Press (kPa),Temp (°C),Time,Visibility (km),Weather,Wind Dir (10s deg),Wind Spd (km/h),Year,filename
0,2016-06-05 07:00,5,15.6,6,81.0,101.31,18.9,7,48.3,Clear,30.0,22.0,2016,katkam-scaled/katkam-20160605070000.jpg
1,2016-06-05 10:00,5,15.8,6,71.0,101.28,21.2,10,48.3,Cloudy,30.0,27.0,2016,katkam-scaled/katkam-20160605100000.jpg
2,2016-06-05 13:00,5,15.9,6,60.0,101.2,24.0,13,40.2,Cloudy,29.0,22.0,2016,katkam-scaled/katkam-20160605130000.jpg
3,2016-06-05 16:00,5,15.6,6,60.0,101.04,23.7,16,48.3,Cloudy,29.0,12.0,2016,katkam-scaled/katkam-20160605160000.jpg
4,2016-06-05 19:00,5,15.7,6,67.0,100.96,22.0,19,48.3,Cloudy,20.0,7.0,2016,katkam-scaled/katkam-20160605190000.jpg
5,2016-06-06 07:00,6,15.7,6,79.0,101.27,19.4,7,48.3,Cloudy,30.0,13.0,2016,katkam-scaled/katkam-20160606070000.jpg
6,2016-06-06 10:00,6,14.9,6,69.0,101.28,20.7,10,48.3,Cloudy,29.0,25.0,2016,katkam-scaled/katkam-20160606100000.jpg
7,2016-06-06 13:00,6,15.2,6,65.0,101.2,22.0,13,48.3,Cloudy,26.0,12.0,2016,katkam-scaled/katkam-20160606130000.jpg
8,2016-06-06 16:00,6,12.7,6,49.0,101.03,23.9,16,48.3,Clear,23.0,8.0,2016,katkam-scaled/katkam-20160606160000.jpg
9,2016-06-06 19:00,6,14.5,6,71.0,100.92,19.8,19,48.3,Cloudy,25.0,12.0,2016,katkam-scaled/katkam-20160606190000.jpg
10,2016-06-07 07:00,7,13.1,6,77.0,100.98,17.1,7,48.3,Clear,11.0,6.0,2016,katkam-scaled/katkam-20160607070000.jpg
11,2016-06-07 10:00,7,13.9,6,72.0,100.96,19.0,10,40.2,Clear,24.0,10.0,2016,katkam-scaled/katkam-20160607100000.jpg
12,2016-06-07 13:00,7,14.8,6,71.0,100.9,20.1,13,48.3,Cloudy,24.0,11.0,2016,katkam-scaled/katkam-20160607130000.jpg
13,2016-06-07 16:00,7,16.1,6,70.0,100.78,21.7,16,48.3,Cloudy,23.0,15.0,2016,katkam-scaled/katkam-20160607160000.jpg
14,2016-06-07 19:00,7,13.3,6,63.0,100.67,20.5,19,48.3,Cloudy,16.0,4.0,2016,katkam-scaled/katkam-20160607190000.jpg
15,2016-06-08 07:00,8,9.8,6,71.0,100.75,15.0,7,48.3,Cloudy,13.0,15.0,2016,katkam-scaled/katkam-20160608070000.jpg
16,2016-06-08 10:00,8,9.8,6,66.0,100.82,16.1,10,48.3,Cloudy,12.0,17.0,2016,katkam-scaled/katkam-20160608100000.jpg
17,2016-06-08 12:00,8,11.8,6,71.0,100.91,17.0,12,24.1,Rain,10.0,16.0,2016,katkam-scaled/katkam-20160608120000.jpg
18,2016-06-08 13:00,8,11.0,6,72.0,101.0,16.0,13,32.2,Cloudy,10.0,18.0,2016,katkam-scaled/katkam-20160608130000.jpg
19,2016-06-08 16:00,8,10.7,6,62.0,101.11,18.0,16,48.3,Cloudy,13.0,27.0,2016,katkam-scaled/katkam-20160608160000.jpg
20,2016-06-08 19:00,8,9.4,6,65.0,101.12,15.9,19,48.3,Clear,12.0,22.0,2016,katkam-scaled/katkam-20160608190000.jpg
21,2016-06-09 07:00,9,8.5,6,72.0,101.33,13.4,7,48.3,Cloudy,10.0,19.0,2016,katkam-scaled/katkam-20160609070000.jpg
22,2016-06-09 10:00,9,7.4,6,57.0,101.34,15.8,10,48.3,Cloudy,14.0,18.0,2016,katkam-scaled/katkam-20160609100000.jpg
23,2016-06-09 13:00,9,5.9,6,44.0,101.27,18.2,13,48.3,Cloudy,16.0,20.0,2016,katkam-scaled/katkam-20160609130000.jpg
24,2016-06-09 16:00,9,6.7,6,47.0,101.17,18.1,16,48.3,Cloudy,12.0,21.0,2016,katkam-scaled/katkam-20160609160000.jpg
25,2016-06-09 19:00,9,7.3,6,56.0,101.05,16.0,19,32.2,Cloudy,15.0,14.0,2016,katkam-scaled/katkam-20160609190000.jpg
26,2016-06-10 07:00,10,7.7,6,71.0,101.32,12.8,7,24.1,Cloudy,16.0,12.0,2016,katkam-scaled/katkam-20160610070000.jpg
27,2016-06-10 10:00,10,7.6,6,68.0,101.47,13.3,10,32.2,Cloudy,12.0,23.0,2016,katkam-scaled/katkam-20160610100000.jpg
28,2016-06-10 13:00,10,6.4,6,50.0,101.48,16.8,13,32.2,Clear,18.0,7.0,2016,katkam-scaled/katkam-20160610130000.jpg
29,2016-06-10 16:00,10,7.5,6,57.0,101.52,15.9,16,32.2,Cloudy,21.0,15.0,2016,katkam-scaled/katkam-20160610160000.jpg
30,2016-06-10 19:00,10,7.5,6,63.0,101.6,14.4,19,48.3,Clear,27.0,9.0,2016,katkam-scaled/katkam-20160610190000.jpg
31,2016-06-11 06:00,11,10.1,6,92.0,101.92,11.3,6,12.9,Rain,8.0,14.0,2016,katkam-scaled/katkam-20160611060000.jpg
32,2016-06-11 07:00,11,10.2,6,91.0,101.94,11.6,7,16.1,Rain,7.0,17.0,2016,katkam-scaled/katkam-20160611070000.jpg
33,2016-06-11 10:00,11,9.7,6,78.0,102.09,13.4,10,19.3,Cloudy,23.0,5.0,2016,katkam-scaled/katkam-20160611100000.jpg
34,2016-06-11 13:00,11,7.8,6,59.0,102.2,15.7,13,32.2,Cloudy,36.0,3.0,2016,katkam-scaled/katkam-20160611130000.jpg
35,2016-06-11 16:00,11,10.2,6,67.0,102.27,16.3,16,32.2,Cloudy,10.0,13.0,2016,katkam-scaled/katkam-20160611160000.jpg
36,2016-06-11 19:00,11,9.2,6,66.0,102.28,15.5,19,32.2,Clear,9.0,21.0,2016,katkam-scaled/katkam-20160611190000.jpg
37,2016-06-12 07:00,12,7.7,6,71.0,102.42,12.8,7,32.2,Cloudy,9.0,17.0,2016,katkam-scaled/katkam-20160612070000.jpg
38,2016-06-12 10:00,12,8.4,6,64.0,102.46,15.1,10,32.2,Cloudy,14.0,15.0,2016,katkam-scaled/katkam-20160612100000.jpg
39,2016-06-12 13:00,12,10.5,6,64.0,102.38,17.3,13,48.3,Clear,22.0,22.0,2016,katkam-scaled/katkam-20160612130000.jpg
40,2016-06-12 16:00,12,11.3,6,64.0,102.27,18.1,16,48.3,Cloudy,20.0,12.0,2016,katkam-scaled/katkam-20160612160000.jpg
41,2016-06-12 19:00,12,8.7,6,58.0,102.12,16.9,19,48.3,Cloudy,13.0,5.0,2016,katkam-scaled/katkam-20160612190000.jpg
42,2016-06-13 06:00,13,10.8,6,89.0,101.47,12.5,6,24.1,Rain,9.0,18.0,2016,katkam-scaled/katkam-20160613060000.jpg
43,2016-06-13 07:00,13,10.8,6,87.0,101.46,12.9,7,24.1,Cloudy,11.0,21.0,2016,katkam-scaled/katkam-20160613070000.jpg
44,2016-06-13 08:00,13,10.7,6,87.0,101.44,12.8,8,16.1,Rain,12.0,21.0,2016,katkam-scaled/katkam-20160613080000.jpg
