,Date/Time,Day,Dew Point Temp (°C),Month,Rel Hum (%),Stn Press (kPa),Temp (°C),Time,Visibility (km),Weather,Wind Dir (10s deg),Wind Spd (km/h),Year
0,2016-06-01 07:00,1,10.5,6,69.0,101.3,16.1,7,48.3,Cloudy,13.0,17.0,2016
1,2016-06-01 10:00,1,11.4,6,65.0,101.29,18.0,10,48.3,Cloudy,13.0,21.0,2016
2,2016-06-01 13:00,1,8.6,6,45.0,101.19,20.8,13,48.3,Cloudy,14.0,18.0,2016
3,2016-06-01 14:00,1,12.2,6,66.0,101.2,18.6,14,24.1,Rain,14.0,17.0,2016
4,2016-06-01 15:00,1,12.7,6,78.0,101.23,16.5,15,19.3,Rain,8.0,10.0,2016
5,2016-06-01 16:00,1,12.9,6,79.0,101.21,16.5,16,24.1,Rain,7.0,14.0,2016
6,2016-06-01 19:00,1,13.8,6,91.0,101.11,15.2,19,24.1,Cloudy,8.0,19.0,2016
7,2016-06-01 20:00,1,13.7,6,93.0,101.11,14.8,20,16.1,Rain,9.0,18.0,2016
8,2016-06-01 21:00,1,13.4,6,94.0,101.11,14.3,21,16.1,Rain,9.0,18.0,2016
9,2016-06-02 07:00,2,11.2,6,77.0,101.36,15.2,7,24.1,Cloudy,17.0,18.0,2016
10,2016-06-02 10:00,2,9.7,6,60.0,101.57,17.5,10,24.1,Clear,19.0,9.0,2016
11,2016-06-02 13:00,2,10.7,6,58.0,101.79,19.0,13,48.3,Cloudy,20.0,15.0,2016
12,2016-06-02 16:00,2,10.5,6,58.0,101.94,18.8,16,48.3,Cloudy,19.0,18.0,2016
13,2016-06-02 19:00,2,11.5,6,72.0,102.05,16.5,19,32.2,Cloudy,16.0,10.0,2016
14,2016-06-03 07:00,3,11.4,6,73.0,102.4,16.2,7,32.2,Cloudy,9.0,16.0,2016
15,2016-06-03 10:00,3,12.2,6,63.0,102.5,19.3,10,48.3,Cloudy,9.0,16.0,2016
16,2016-06-03 13:00,3,13.6,6,61.0,102.5,21.3,13,48.3,Cloudy,28.0,10.0,2016
17,2016-06-03 16:00,3,13.7,6,59.0,102.38,22.0,16,48.3,Clear,29.0,17.0,2016
18,2016-06-03 19:00,3,15.2,6,76.0,102.23,19.5,19,48.3,Clear,29.0,16.0,2016
19,2016-06-04 07:00,4,15.1,6,85.0,102.09,17.6,7,48.3,Clear,29.0,28.0,2016
20,2016-06-04 10:00,4,15.3,6,77.0,102.02,19.4,10,48.3,Clear,29.0,32.0,2016
21,2016-06-04 13:00,4,15.9,6,70.0,101.84,21.5,13,48.3,Clear,30.0,29.0,2016
22,2016-06-04 16:00,4,15.8,6,70.0,101.57,21.4,16,48.3,Clear,31.0,24.0,2016
23,2016-06-04 19:00,4,15.4,6,78.0,101.4,19.3,19,48.3,Clear,31.0,20.0,2016
24,2016-06-05 07:00,5,15.6,6,81.0,101.31,18.9,7,48.3,Clear,30.0,22.0,2016
25,2016-06-05 10:00,5,15.8,6,71.0,101.28,21.2,10,48.3,Cloudy,30.0,27.0,2016
26,2016-06-05 13:00,5,15.9,6,60.0,101.2,24.0,13,40.2,Cloudy,29.0,22.0,2016
27,2016-06-05 16:00,5,15.6,6,60.0,101.04,23.7,16,48.3,Cloudy,29.0,12.0,2016
28,2016-06-05 19:00,5,15.7,6,67.0,100.96,22.0,19,48.3,Cloudy,20.0,7.0,2016
29,2016-06-06 07:00,6,15.7,6,79.0,101.27,19.4,7,48.3,Cloudy,30.0,13.0,2016
30,2016-06-06 10:00,6,14.9,6,69.0,101.28,20.7,10,48.3,Cloudy,29.0,25.0,2016
31,2016-06-06 13:00,6,15.2,6,65.0,101.2,22.0,13,48.3,Cloudy,26.0,12.0,2016
32,2016-06-06 16:00,6,12.7,6,49.0,101.03,23.9,16,48.3,Clear,23.0,8.0,2016
33,2016-06-06 19:00,6,14.5,6,71.0,100.92,19.8,19,48.3,Cloudy,25.0,12.0,2016
34,2016-06-07 07:00,7,13.1,6,77.0,100.98,17.1,7,48.3,Clear,11.0,6.0,2016
35,2016-06-07 10:00,7,13.9,6,72.0,100.96,19.0,10,40.2,Clear,24.0,10.0,2016
36,2016-06-07 13:00,7,14.8,6,71.0,100.9,20.1,13,48.3,Cloudy,24.0,11.0,2016
37,2016-06-07 16:00,7,16.1,6,70.0,100.78,21.7,16,48.3,Cloudy,23.0,15.0,2016
38,2016-06-07 19:00,7,13.3,6,63.0,100.67,20.5,19,48.3,Cloudy,16.0,4.0,2016
39,2016-06-08 07:00,8,9.8,6,71.0,100.75,15.0,7,48.3,Cloudy,13.0,15.0,2016
40,2016-06-08 10:00,8,9.8,6,66.0,100.82,16.1,10,48.3,Cloudy,12.0,17.0,2016
41,2016-06-08 12:00,8,11.8,6,71.0,100.91,17.0,12,24.1,Rain,10.0,16.0,2016
42,2016-06-08 13:00,8,11.0,6,72.0,101.0,16.0,13,32.2,Cloudy,10.0,18.0,2016
43,2016-06-08 16:00,8,10.7,6,62.0,101.11,18.0,16,48.3,Cloudy,13.0,27.0,2016
44,2016-06-08 19:00,8,9.4,6,65.0,101.12,15.9,19,48.3,Clear,12.0,22.0,2016
45,2016-06-09 07:00,9,8.5,6,72.0,101.33,13.4,7,48.3,Cloudy,10.0,19.0,2016
46,2016-06-09 10:00,9,7.4,6,57.0,101.34,15.8,10,48.3,Cloudy,14.0,18.0,2016
47,2016-06-09 13:00,9,5.9,6,44.0,101.27,18.2,13,48.3,Cloudy,16.0,20.0,2016
48,2016-06-09 16:00,9,6.7,6,47.0,101.17,18.1,16,48.3,Cloudy,12.0,21.0,2016
49,2016-06-09 19:00,9,7.3,6,56.0,101.05,16.0,19,32.2,Cloudy,15.0,14.0,2016
50,2016-06-10 07:00,10,7.7,6,71.0,101.32,12.8,7,24.1,Cloudy,16.0,12.0,2016
51,2016-06-10 10:00,10,7.6,6,68.0,101.47,13.3,10,32.2,Cloudy,12.0,23.0,2016
52,2016-06-10 13:00,10,6.4,6,50.0,101.48,16.8,13,32.2,Clear,18.0,7.0,2016
53,2016-06-10 16:00,10,7.5,6,57.0,101.52,15.9,16,32.2,Cloudy,21.0,15.0,2016
